ID,TRACT,GEOID,label,nhousingUn,nMobileHom,yearBuilt,nBadPlumbi,nBadKitche,nRooms,nBedrooms,medHHinc,Population,MedianAge,PopInHouse,nHousehold,Families
4417,211702,6037211702,"Census Tract 2117.02, Los Angeles County, California",3605,17,1963,48,107,2,0.770874,25558,8278,32,8268,3489,1905
4418,211801,6037211801,"Census Tract 2118.01, Los Angeles County, California",3098,0,1973,34,40,1.7,0.682053,25039,7229,32.7,7171,3032,1730
4419,211802,6037211802,"Census Tract 2118.02, Los Angeles County, California",2094,9,1961,48,112,1.4,0.474212,21045,4529,32,4490,1986,1000
4420,211910,6037211910,"Census Tract 2119.10, Los Angeles County, California",1901,0,1962,17,54,1.5,0.503945,20010,4954,28.6,4937,1820,1094
4421,211920,6037211920,"Census Tract 2119.20, Los Angeles County, California",2548,0,1965,59,117,1.8,0.621664,20380,6380,29.6,6380,2468,1400
4422,2121,6037212100,"Census Tract 2121, Los Angeles County, California",2623,6,1971,18,154,1.5,0.546321,21554,5321,32,5294,2533,1137
4423,212202,6037212202,"Census Tract 2122.02, Los Angeles County, California",1215,6,1956,21,35,1.7,0.716872,21008,4111,27.6,4066,1168,857
4424,212203,6037212203,"Census Tract 2122.03, Los Angeles County, California",1131,0,1960,36,15,1.3,0.350133,13924,2876,29.4,2876,1096,611
4425,212204,6037212204,"Census Tract 2122.04, Los Angeles County, California",1176,8,1956,49,72,1.4,0.366497,16285,3397,27.6,3397,1147,718
4426,212303,6037212303,"Census Tract 2123.03, Los Angeles County, California",1070,0,1953,60,87,1.3,0.326168,16198,3154,27.8,3146,1077,667
4427,212304,6037212304,"Census Tract 2123.04, Los Angeles County, California",843,0,1939,10,38,1.2,0.316726,23053,2285,26.9,2285,782,452
4428,212305,6037212305,"Census Tract 2123.05, Los Angeles County, California",1076,0,1958,31,73,1.4,0.714684,20857,3201,27.2,3201,958,703
4429,212306,6037212306,"Census Tract 2123.06, Los Angeles County, California",1227,13,1968,27,62,1.9,0.712306,23043,3666,29.5,3666,1165,825
4430,212410,6037212410,"Census Tract 2124.10, Los Angeles County, California",1615,9,1966,56,92,1.9,0.865015,25502,4264,29.5,4264,1514,985
4431,212420,6037212420,"Census Tract 2124.20, Los Angeles County, California",1238,0,1968,61,60,1.5,0.684168,21370,3778,28.7,3770,1174,851
4432,2125,6037212500,"Census Tract 2125, Los Angeles County, California",2178,12,1959,53,83,1.7,0.640955,24221,6125,28.5,6125,2110,1327
4433,212610,6037212610,"Census Tract 2126.10, Los Angeles County, California",1546,14,1957,23,35,1.9,0.811772,24263,4144,31.3,4139,1508,960
4434,212620,6037212620,"Census Tract 2126.20, Los Angeles County, California",1821,8,1957,26,76,1.9,0.893465,25146,4999,31,4931,1779,1197
4435,2127,6037212700,"Census Tract 2127, Los Angeles County, California",2376,10,1951,63,80,3.8,2.030303,48045,6455,38.5,6223,2266,1504
4436,2128,6037212800,"Census Tract 2128, Los Angeles County, California",1476,0,1939,15,22,3.8,1.668699,33505,4914,31.7,4908,1434,1098
4437,2129,6037212900,"Census Tract 2129, Los Angeles County, California",1553,0,1951,28,47,2.1,0.922086,22592,4407,30,4372,1499,1002
4438,2131,6037213100,"Census Tract 2131, Los Angeles County, California",838,0,1947,11,17,2.2,1.490453,30678,2643,34.5,2544,815,601
4439,213201,6037213201,"Census Tract 2132.01, Los Angeles County, California",1402,0,1956,40,41,1.9,0.757489,21568,3855,31.1,3855,1334,903
4440,213202,6037213202,"Census Tract 2132.02, Los Angeles County, California",1319,0,1955,39,20,2.3,0.884003,21441,4125,30.3,4095,1235,919
4441,213310,6037213310,"Census Tract 2133.10, Los Angeles County, California",1181,0,1957,49,54,2.1,0.993226,19655,3550,30.7,3550,1099,813
4442,213320,6037213320,"Census Tract 2133.20, Los Angeles County, California",1033,0,1960,54,36,2.4,1.038722,17070,2743,34.3,2743,995,609
4443,213401,6037213401,"Census Tract 2134.01, Los Angeles County, California",1714,0,1965,21,86,1.8,0.676196,18627,5623,27.4,5619,1684,1235
4444,213402,6037213402,"Census Tract 2134.02, Los Angeles County, California",1693,0,1962,48,105,1.9,0.832841,21883,5318,28.2,5318,1634,1232
4445,2140,6037214e3,"Census Tract 2140, Los Angeles County, California",1422,9,1939,7,19,5.8,2.665963,70161,3734,33.1,3734,1362,783
4446,2141,6037214100,"Census Tract 2141, Los Angeles County, California",1804,0,1939,0,0,6,2.720621,69663,3806,37.4,3806,1743,797
4447,2144,6037214400,"Census Tract 2144, Los Angeles County, California",1818,0,1939,0,18,3.6,1.524202,47852,2950,31.4,2863,1765,382
4448,2145,6037214500,"Census Tract 2145, Los Angeles County, California",4791,0,1947,10,20,3.4,1.522229,46828,8569,35.4,8569,4574,1776
4449,2146,6037214600,"Census Tract 2146, Los Angeles County, California",1434,0,1944,27,57,3.9,1.735704,47243,2527,37.3,2466,1399,470
4450,2147,6037214700,"Census Tract 2147, Los Angeles County, California",1322,0,1939,21,25,5.2,2.22466,65592,2484,37,2408,1261,489
4451,2148,6037214800,"Census Tract 2148, Los Angeles County, California",1486,0,1950,23,29,4.1,1.712651,47831,2544,40.3,2438,1442,482
4452,2149,6037214900,"Census Tract 2149, Los Angeles County, California",3938,0,1971,8,31,3.3,1.337481,42500,5829,37.5,5703,3659,1034
4453,2151,6037215100,"Census Tract 2151, Los Angeles County, California",3901,0,1947,49,230,2.8,0.980005,37116,5630,30.6,5624,3734,771
4454,2161,6037216100,"Census Tract 2161, Los Angeles County, California",1107,0,1939,0,0,5.3,2.369467,53310,2420,39.2,2418,1076,580
4455,2162,6037216200,"Census Tract 2162, Los Angeles County, California",2240,0,1941,16,35,4.4,1.910268,43720,4324,36.2,4275,2130,924
4456,2163,6037216300,"Census Tract 2163, Los Angeles County, California",2438,10,1944,20,64,4.3,1.792453,50753,4653,38.4,4590,2343,1006
4457,2164,6037216400,"Census Tract 2164, Los Angeles County, California",3559,0,1961,0,42,3.6,1.576566,40915,6774,35.9,6631,3455,1408
